ipo_date,symbol,company_name,ipo_price,current,return
2025-05-22,MNTN,"MNTN, Inc.",16.00,8.38,-47.63
2025-05-22,OYSE,Oyster Enterprises II Acquisition Corp,10.00,10.29,2.90
2025-05-21,AACI,Armada Acquisition Corp. II,10.00,10.29,2.90
2025-05-21,OFAL,OFA Group,4.50,0.207,-95.40
2025-05-21,PCAP,ProCap Acquisition Corp,10.00,10.27,2.70
2025-05-16,CCCM,Columbus Circle Capital Corp I,10.00,11.13,13.50
2025-05-16,WENN,Wen Acquisition Corp.,10.00,10.29,2.90
2025-05-15,RTAC,Renatus Tactical Acquisition Corp I,10.00,10.41,4.10
2025-05-15,TVAI,Thayer Ventures Acquisition Corporation II,10.00,10.31,3.10
2025-05-14,ANTA,Antalpha Platform Holding Company,12.80,6.19,-51.64
2025-05-14,CCCX,Churchill Capital Corp X,10.00,13.66,36.60
2025-05-14,ETOR,eToro Group Ltd.,52.00,36.53,-29.75
2025-05-13,OMSE,OMS Energy Technologies Inc.,9.00,3.95,-56.11
2025-05-13,PMTR,Perimeter Acquisition Corp. I,10.00,10.41,4.10
2025-05-09,APUS,"Apimeds Pharmaceuticals US, Inc.",4.00,0.89,-77.75
2025-05-09,EGHA,EGH Acquisition Corp.,10.00,10.31,3.10
2025-05-08,AHL,Aspen Insurance Holdings Limited,30.00,37.50,25.00
2025-05-08,AII,"American Integrity Insurance Group, Inc.",16.00,18.04,12.75
2025-05-07,CCAQ,Collective Acquisition Corp.,,10.43,
2025-05-02,CEPT,"Cantor Equity Partners II, Inc.",10.00,10.65,6.50
2025-05-02,CGCT,Cartesian Growth Corporation III,10.00,11.90,19.00
2025-05-02,GTEN,"Gores Holdings X, Inc.",10.00,10.42,4.20
2025-05-02,SDM,Smart Digital Group Limited,4.00,1.85,-53.75
2025-05-01,COPL,Copley Acquisition Corp,10.00,10.44,4.40
2025-05-01,RDAG,Republic Digital Acquisition Company,10.00,10.33,3.30
2025-04-30,LCCC,Lakeshore Acquisition III Corp.,10.00,10.41,4.10
2025-04-30,TACO,Berto Acquisition Corp.,10.00,10.39,3.80
2025-04-30,YB,Yuanbao Inc.,15.00,14.34,-4.47
2025-04-29,DAAQ,Digital Asset Acquisition Corp.,10.00,10.38,3.80
2025-04-29,RAAQ,Real Asset Acquisition Corp.,10.00,10.84,8.40
2025-04-25,CHAC,Crane Harbor Acquisition Corp.,10.00,9.72,-2.80
2025-04-25,IPCX,Inflection Point Acquisition Corp. III,10.00,10.32,3.20
2025-04-25,PHOE,Phoenix Asia Holdings Limited,4.00,17.56,339.00
2025-04-24,NPAC,New Providence Acquisition Corp. III,10.00,10.38,3.79
2025-04-23,TVA,Texas Ventures Acquisition III Corp,10.00,10.46,4.60
2025-04-22,PFAI,Pinnacle Food Group Limited,4.00,3.74,-6.50
2025-04-22,YOOV,Concorde International Group Ltd.,,0.462,
2025-04-21,TMDE,TMD Energy Limited,3.25,0.704,-78.34
2025-04-17,CHA,Chagee Holdings Limited,28.00,11.75,-58.04
2025-04-17,EDHL,Everbright Digital Holding Limited,4.00,4.41,10.25
2025-04-15,HXHX,Haoxin Holdings Limited,4.00,0.452,-88.70
2025-04-10,ATHR,"Aether Holdings, Inc.",4.30,3.30,-23.26
2025-04-10,CUPR,Cuprina Holdings (Cayman) Limited,4.00,5.74,43.50
2025-04-10,IOTR,iOThree Limited,4.00,2.80,-30.00
2025-04-10,MB,MasterBeef Group,4.00,5.52,38.00
2025-04-09,TACH,Titan Acquisition Corp,10.00,10.41,4.10
2025-04-08,FATN,"FatPipe, Inc.",5.75,5.44,-5.39
2025-04-08,RYET,Ruanyun Edai Technology Inc.,4.00,1.08,-73.00
2025-04-04,BLIV,BeLive Holdings,4.00,2.35,-41.25
2025-04-03,LHSW,Lianhe Sowell International Group Ltd,4.00,1.91,-52.25
2025-04-02,SMA,"SmartStop Self Storage REIT, Inc.",30.00,32.85,9.50
2025-04-02,SORA,AsiaStrategy,,2.14,
2025-04-02,SZZL,Sizzle Acquisition Corp. II,10.00,10.37,3.70
2025-04-01,ENGS,Energys Group Limited,4.50,2.42,-46.22
2025-04-01,SDHI,Siddhi Acquisition Corp.,10.00,10.42,4.20
2025-04-01,WTF,Waton Financial Limited,4.00,2.51,-37.25
2025-04-01,WXM,WF International Limited,4.00,4.67,16.75
2025-03-31,NMAX,Newsmax Inc.,10.00,7.02,-29.80
2025-03-31,UYSC,UY Scuti Acquisition Corp.,10.00,10.65,6.50
2025-03-28,CRWV,"CoreWeave, Inc.",40.00,100.88,152.20
2025-03-28,NCT,Intercont (Cayman) Limited,7.00,2.92,-58.29
2025-03-27,WFF,WF Holding Limited,4.00,2.83,-29.25
2025-03-26,EPSM,Epsium Enterprise Limited,4.00,1.34,-66.50
2025-03-25,LGPS,LogProstyle Inc.,5.00,0.671,-86.59
2025-03-21,BIYA,Baiya International Group Inc.,4.00,0.385,-90.38
2025-03-21,GSHR,Gesher Acquisition Corp. II,10.00,10.41,4.10
2025-03-21,RCT,RedCloud Holdings plc,4.50,0.507,-88.74
2025-03-18,QSEA,Quartzsea Acquisition Corporation,10.00,10.52,5.20
2025-03-13,MWYN,"Marwynn Holdings, Inc.",4.00,1.10,-72.50
2025-03-07,MCRP,Micropolis AI Robotics,4.00,1.66,-58.50
2025-03-07,SAGT,Sagtec Global Limited,4.00,1.21,-69.75
2025-03-06,ADVB,Advanced Biomed Inc.,4.00,4.76,21.13
2025-03-06,JFB,JFB Construction Holdings,4.13,4.87,17.92
2025-03-06,KMTS,"Kestra Medical Technologies, Ltd.",17.00,22.08,29.88
2025-03-06,TBH,"Brag House Holdings, Inc.",4.00,4.02,0.50
2025-03-04,PN,PN Smart Energy Limited,4.00,3.71,-7.25
2025-02-28,FERA,Fifth Era Acquisition Corp I,10.00,10.43,4.30
2025-02-28,LOKV,Live Oak Acquisition Corp. V,10.00,11.52,15.20
2025-02-28,NHIC,NewHold Investment Corp III,10.00,10.96,9.60
2025-02-27,LUD,Luda Technology Group Limited,4.00,5.21,30.25
2025-02-27,LZMH,LZ Technology Holdings Limited,4.00,1.31,-67.25
2025-02-27,RAC,Rithm Acquisition Corp.,10.00,10.43,4.30
2025-02-27,WETO,Wetour Robotics Limited,4.00,0.851,-78.73
2025-02-26,STAK,STAK Inc.,4.00,3.68,-8.00
2025-02-25,BMGL,Basel Medical Group Ltd,4.00,7.03,75.75
2025-02-21,WGRX,"Wellgistics Health, Inc.",4.50,2.82,-37.33
2025-02-19,NNNN,Anbio Biotechnology,5.00,15.25,205.00
2025-02-14,NPB,"Northpointe Bancshares, Inc.",14.50,18.56,28.00
2025-02-13,AACB,Artius II Acquisition Inc.,10.00,10.50,5.00
2025-02-13,AARD,"Aardvark Therapeutics, Inc.",16.00,4.96,-69.00
2025-02-13,IPEX,Inflection Point Acquisition Corp. V,,10.49,
2025-02-13,KRMN,Karman Holdings Inc.,22.00,44.84,103.82
2025-02-13,SAIL,"SailPoint, Inc.",23.00,12.57,-45.35
2025-02-13,XHLD,"TEN Holdings, Inc.",6.00,1.23,-79.50
